effect_name,unusuals,average_change,median_change,average_listing_change,increases,decreases,new,removed
Petal Prance,50,-0.02742602097549147,-0.02013473137596833,0.0,0,50,0,0
Phantasmal Fog,9,-0.042338865698912445,-0.011703312612282524,0.0,0,9,0,0
Phantom Crown,54,-0.3123679853743988,-0.2126731001586677,0.0,0,54,0,0
Phantom Plague,48,-0.2355868439380913,-0.16988679598473766,0.0,0,48,0,0
Phosphorous,213,-0.44259626185323514,-0.2252573072686488,0.0,0,213,0,0
Piercing Headache,48,-0.2189258780664373,-0.06166261483890523,0.0,0,48,0,0
Playful Aurora,45,-0.40537925836949357,-0.19505521020469985,0.0,0,45,0,0
Plum Prankster,45,-0.2790897487946704,-0.1635946924297471,0.0,0,45,0,0
Poisoned Shadows,177,-2.7245920350931008,-1.3213417465479438,0.0,0,177,0,0
Poisonous Bubbles of Regret,53,-0.04323743612693202,-0.03397735919694611,0.0,0,53,0,0
Polar Forecast,51,-0.15616754274326455,-0.1283589125218043,0.0,0,51,0,0
Potion Explosion,41,-0.019493243745240543,-0.015101048531977135,0.0,0,41,0,0
Power Pressure,42,-0.039607293758769334,-0.028314465997454796,0.0,0,42,0,0
Power Surge,222,-0.2145827752819421,-0.10696576043483219,0.0,0,222,0,0
Prettiest Star,37,-0.4449027383936568,-0.2617515078875954,0.0,0,37,0,0
Prismatic Haze,62,-0.037140663516448104,-0.022022362442466026,0.0,0,62,0,0
Prismatic Pine,26,-0.13334419456921515,-0.11577470541181967,0.0,0,26,0,0
Prismatica,10,-0.2007181034041853,-0.1233252296778069,0.0,0,10,0,0
Pristine Pine,21,-0.03747397102964892,-0.027685255641953788,0.0,0,21,0,0
Psycho-Delic,17,-0.11044492357700504,-0.08557260834787073,0.0,0,17,0,0
Pumpkin Moon,103,-0.7909723964078826,-0.56377247852717,0.0,0,103,0,0
Pumpkin Party,79,-0.13424481698653226,-0.08053892550387332,0.0,0,79,0,0
Pumpkin Patch,42,-0.019036609493633457,-0.013842627820976894,0.0,0,42,0,0
Pungent Poison,32,-0.026538913025532213,-0.019505521020469097,0.0,0,32,0,0
Purple Confetti,478,-0.08881870193920599,-0.03901104204093997,0.0,0,478,0,0
Purple Energy,544,-0.3956969755878073,-0.18624626522770882,0.0,0,544,0,0
Pyroland Daydream,60,-0.15118876158715533,-0.09186471190285772,0.0,0,60,0,0
Pyroland Nightmare,74,-0.12233889993134903,-0.06921313910489424,0.0,0,74,0,0
Pyrophoric Personality,47,-0.05673335413901571,-0.03271893848594942,0.0,0,47,0,0
Radiant Legacy,30,-0.18427473944714787,-0.12584207109980383,0.0,0,30,0,0
Radiant Rivalry,62,-0.24297668276382914,-0.1510104853197589,0.0,0,62,0,0
Rainbow Reverie,71,-0.3292631203973284,-0.14975206460878354,0.0,0,71,0,0
Rare Shine,65,-0.3180900351030439,-0.19127994807170978,0.0,0,65,0,0
Raspberry Bloom,8,-0.06889853392714151,-0.0673255080383921,0.0,0,8,0,0
Ravenous Ravens,43,-0.21077083629320292,-0.1510104853197589,0.0,0,43,0,0
Refracting Fractals,9,-0.09172488737941108,-0.08557260834787073,0.0,0,9,0,0
Refragmenting Reality,20,-0.10057927532651831,-0.05788735270591161,0.0,0,20,0,0
Reindoonicorn Rancher,41,0.8635333144085388,-0.02013473137596833,0.0,1,40,0,0
Resonation,10,-0.2837738703300639,-0.07110077017139105,0.0,0,10,0,0
Restless Wraiths,81,-0.2789033160967481,-0.1409431196317641,0.0,0,81,0,0
Revenant's Rack,37,-0.5039464776988573,-0.25168414219960766,0.0,0,37,0,0
Reverium Irregularis,6,-0.21707757264715108,-0.10256128794633312,0.0,0,6,0,0
Revived Recharge,36,-0.12835891252179796,-0.10822418114583243,0.0,0,36,0,0
Ring of Fire,41,-0.3956045010744748,-0.2013473137596833,0.0,0,41,0,0
Rising Ritual,48,-0.020881918673123934,-0.015101048531977135,0.0,0,48,0,0
Roaring Rockets,51,-0.019985448134761954,-0.01573025888747548,0.0,0,51,0,0
Roboactive,227,-0.8577107244975928,-0.4794582908902498,0.0,0,227,0,0
Runic Imprisonment,37,-0.023017195031565397,-0.015101048531977135,0.0,0,37,0,0
Sakura Blessings,40,-0.03222186230510484,-0.025168414219962187,0.0,0,40,0,0
Sakura Smoke Bomb,89,-0.301794737702716,-0.1283589125218043,0.0,0,89,0,0
Sandy,60,-0.13535363430709607,-0.07550524265987946,0.0,0,60,0,0
Sapped,67,-0.1677174289381631,-0.10822418114582888,0.0,0,67,0,0
Scorched Scalp,17,-0.17469840458561028,-0.12584207109980383,0.0,0,17,0,0
Scorching Flames,550,-0.6449027181081054,-0.31649280881598685,0.0,0,550,0,0
Scorching Sensation,21,-0.07738088876722686,-0.045303145595930516,0.0,0,21,0,0
Screaming Tiger,84,-0.015503293723527524,-0.010413431383508698,0.0,0,84,0,0
Seamine,17,-0.01932045915120532,-0.011325786398982629,0.0,0,17,0,0
Searing Plasma,513,-0.1465453681409711,-0.06543787697189885,0.0,0,513,0,0
Searing Stove,76,-0.24103724065787568,-0.12584207109980383,0.0,0,76,0,0
Selfless Sensation,13,-0.02983425100996912,-0.02013473137596833,0.0,0,13,0,0
Serenus Lumen,52,-0.38263249733826193,-0.19757205162669322,0.0,0,52,0,0
Severed Serration,57,-0.26579170069658525,-0.1761788995397211,0.0,0,57,0,0
Shark Attack,10,-0.012036794100696292,-0.010853878632357983,0.0,0,10,0,0
Shimmering Fireworks,5,-0.11275449570542477,-0.06417945626090216,0.0,0,5,0,0
Shimmering Lights,45,-0.0559731549799584,-0.03775262132993795,0.0,0,45,0,0
Shining Bokeh,70,-0.3379578706578818,-0.17554968918422276,0.0,0,70,0,0
Shining Stag,36,-0.35522420181005976,-0.20386415518167667,0.0,0,36,0,0
Shining Star,7,-0.3252118665993449,-0.08808944976986055,0.0,0,7,0,0
Showstopper,83,-0.016305645224612284,-0.012017917790030808,0.0,0,83,0,0
Shrieking Shades,52,-0.29326137549434717,-0.17869574096171448,0.0,0,51,1,0
Silver Cyclone,62,-0.012657276699651197,-0.011325786398982629,0.0,0,62,0,0
Silver Serenade,31,-0.16534024373854714,-0.06292103554990547,0.0,0,31,0,0
Sixth Sense,55,-0.19584458319614143,-0.08808944976986055,0.0,0,55,0,0
Sizzling,67,-0.15669216091792762,-0.0704715598158927,0.0,0,67,0,0
Sizzling Aroma,41,-0.2804743526121936,-0.1887631066497022,0.0,0,41,0,0
Skill Gotten Gains,75,-0.01723113532212585,-0.012080838825580642,0.0,0,75,0,0
Smissmas Swirls,29,-0.033244003679158966,-0.025168414219962187,0.0,0,29,0,0
Smissmas Tree,45,-0.12858263175930962,-0.07550524265987946,0.0,0,45,0,0
Smoking,517,-0.10517792675547438,-0.041527883462933346,0.0,0,517,0,0
Smoldering Spirits,10,-0.1360352788588859,-0.06606708732739364,0.0,0,10,0,0
Snow Dome,11,-0.03605375337009367,-0.013213417465479438,0.0,0,11,0,0
Snowblinded,47,-0.14265671379143677,-0.11325786398982274,0.0,0,47,0,0
Snowfall,47,-0.03531476588874222,-0.022651572797965258,0.0,0,47,0,0
Snowfallen,33,-0.2211388394872016,-0.1635946924297471,0.0,0,33,0,0
Snowy Day,34,-0.02444482231113682,-0.017617889953973176,0.0,0,34,0,0
Snowy Spirit,17,-0.0661411120751034,-0.045303145595930516,0.0,0,17,0,0
Solar Scorched,55,-0.01523604275370175,-0.012584207109980206,0.0,0,55,0,0
Something Burning This Way Comes,172,-1.9231164382500237,-1.1954996754481613,0.0,0,172,0,0
Soulful Slice,53,-0.23150192324964083,-0.1535273267417665,0.0,0,53,0,0
Soundwave,9,-0.0942417288014094,-0.09563997403585489,0.0,0,9,0,0
Spark of Smissmas,22,-0.08957667424649624,-0.08305576692587024,0.0,0,22,0,0
Sparkling Fireworks,6,-0.21120494266250014,-0.20889783802567052,0.0,0,6,0,0
Sparkling Lights,62,-0.4628958505648514,-0.23909993508962657,0.0,0,62,0,0
Sparkling Spruce,32,-0.1267858866330514,-0.10444891901283881,0.0,0,32,0,0
Sparkly Spruce,16,-0.01882518732358565,-0.016359469242975155,0.0,0,16,0,0
Special Snowfall,38,-0.18151062939421647,-0.12080838825580997,0.0,0,38,0,0
Spectral Escort,44,-0.04483409787637536,-0.024539203864462955,0.0,0,44,0,0
Spectral Fire,51,-0.35647851003507314,-0.19379678949368895,0.0,0,51,0,0
Spectral Shackles,43,-0.02601272672024676,-0.018876310664969864,0.0,0,43,0,0
Spectral Swirl,43,-0.07790502169015669,-0.05033682843992082,0.0,0,43,0,0
Spectral Wick,43,-0.3474119130292469,-0.1635946924297471,0.0,0,43,0,0
Spectrum Inferno,24,-0.8256288548072841,-0.32089728130448947,0.0,0,24,0,0
Spellbound,177,-3.94809946341417,-2.0638099660368425,0.0,0,177,0,0
Spellbound Aspect,52,-0.06284964437495091,-0.039640252396438314,0.0,0,52,0,0
Spiraling Lights,34,-0.11666300238428728,-0.07802208408187639,0.0,0,34,0,0
Split Malice,15,-0.09977598343933372,-0.035235779907944575,0.0,0,15,0,0
Spooky Night,55,-0.061193567119349604,-0.04026946275193666,0.0,0,55,0,0
Sprinkled Delights,8,-0.056550280700473854,-0.05474130092841101,0.0,0,8,0,0
Squash n' Twist,32,-0.029974008310084524,-0.02013473137596833,0.0,0,32,0,0
Stardust,6,-0.13674838392845365,-0.143459961053777,0.0,0,6,0,0
Stardust Pathway,29,-0.08743854250555425,-0.0704715598158927,0.0,0,29,0,0
Stare from Beyond,174,-0.5485412485422769,-0.26175150788758117,0.0,0,174,0,0
Starfire,7,-0.3054366839979549,-0.06543787697189885,0.0,0,7,0,0
Starlight Haze,84,-0.30756401424749347,-0.15478574745275608,0.0,0,84,0,0
Starlush,6,-0.09920549938367944,-0.07487603230438289,0.0,0,6,0,0
Starstorm Insomnia,208,-0.24053985878778542,-0.13842627820978493,0.0,0,208,0,0
Starstorm Slumber,198,-0.3160606239253567,-0.1635946924297471,0.0,0,198,0,0
Startrance,6,-0.08452392442203512,-0.07235919088238951,0.0,0,6,0,0
Static Mist,46,-0.022471016782908283,-0.014786443354227075,0.0,0,46,0,0
Static Shock,49,-0.024320906394186406,-0.01573025888747548,0.0,0,49,0,0
Steaming,505,-0.09216249660575579,-0.03775262132993795,0.0,0,505,0,0
Stellar Ascent,79,-1.000269242106461,-0.5688061613711852,0.0,0,79,0,0
Stormy 13th Hour,184,-1.8495092546625491,-1.2710049181080194,0.0,0,184,0,0
Stormy Storm,539,-0.14444171598693778,-0.06040419412790499,0.0,0,539,0,0
Stunning,10,-0.09494784264480245,-0.04215709381843524,0.0,0,10,0,0
Subatomic,6,-1.3729369956988313,-0.36997568903345623,0.0,0,6,0,0
Sublime Snowstorm,52,-0.023038779170579525,-0.014786443354227075,0.0,0,52,0,0
Subtle Silhouette,23,-0.064994694025852,-0.022651572797965258,0.0,0,23,0,0
Sulphurous,218,-0.4594609162063709,-0.23909993508962657,0.0,0,218,0,0
Summer Wave,11,-0.024161677651162252,-0.0069842349460391695,0.0,0,11,0,0
Sunbeams,543,-0.486014593268542,-0.2365830936676332,0.0,0,543,0,0
Sylicone Succiduous,57,-0.4979813606538878,-0.3020209706395178,0.0,0,57,0,0
Synesthesia,5,-0.08985123876526017,-0.05537051128391113,0.0,0,5,0,0
Tainted Frost,71,-0.17587758753850025,-0.10067365687984875,0.0,0,71,0,0
Tangled Lights,29,-0.017181782086885054,-0.011954996754481861,0.0,0,29,0,0
Tar Pit,11,-0.01888203075911229,-0.015101048531977135,0.0,0,11,0,0
Team Recognition,43,-0.07313472922753678,-0.05537051128391113,0.0,0,43,0,0
Teamwork Valorance,43,-0.030968855729724035,-0.025168414219962187,0.0,0,43,0,0
Tempered Thorns,48,-0.3021520561302582,-0.17492047882872797,0.0,0,48,0,0
Terrestrial Favor,9,-0.22665555250308836,-0.06543787697189885,0.0,0,9,0,0
Terrifying Thunder,47,-0.0371073460291955,-0.03020209706395427,0.0,0,47,0,0
Terror-Watt,508,-0.09667296898956348,-0.045303145595930516,0.0,0,508,0,0
Tesla Coil,199,-0.32070756963952385,-0.21896520371366535,0.0,0,199,0,0
The Bone Zone,63,-0.22027356175445717,-0.12584207109980383,0.0,0,63,0,0
The Dark Doorway,44,-1.6311706456897517,-0.6417945626090074,0.0,0,44,0,0
The Eldritch Opening,39,-1.412786984880443,-0.9085797533405753,0.0,0,39,0,0
The Ooze,186,-0.6158819210868268,-0.3806722650769103,0.0,0,186,0,0
Thundering Spirit,52,-0.025812144814432638,-0.02013473137596833,0.0,0,52,0,0
Thunderous Rage,34,-0.027542758002623423,-0.018876310664969864,0.0,0,34,0,0
Time Warp,227,-1.0213743773838628,-0.6090756241230224,0.0,0,227,0,0
Toxic Aroma,43,-0.21638983109580037,-0.13842627820978493,0.0,0,43,0,0
Toxic Grip,35,-0.02616256658164919,-0.02013473137596833,0.0,0,35,0,0
Toxic Swirl,27,-0.26622589263780844,-0.1761788995397211,0.0,0,27,0,0
Toxic Terrors,34,-0.016707385557191846,-0.012710049181079874,0.0,0,34,0,0
Treasure Trove,103,-0.3923706906184569,-0.2013473137596833,0.0,0,103,0,0
Tropical Thrill,6,-0.08536287156269928,-0.09186471190285772,0.0,0,6,0,0
Twilight Snowfall,14,-0.10296578031773292,-0.10067365687984875,0.0,0,14,0,0
Twinkling Fireworks,5,-0.2046192076082761,-0.13842627820978493,0.0,0,5,0,0
Twinkling Lights,46,-0.07116916260133414,-0.044673935240430396,0.0,0,46,0,0
Twirling Spirits,43,-0.03302915382400894,-0.03020209706395427,0.0,0,43,0,0
Twisted Radiance,45,-0.3268258410985326,-0.1510104853197589,0.0,0,45,0,0
Twisting Lights,30,-0.11189457488624187,-0.08557260834787073,0.0,0,30,0,0
Undead Electricity,29,-0.15016430587616175,-0.07550524265987946,0.0,0,29,0,0
Valiant Vortex,39,-0.15728645527589405,-0.11325786398982274,0.0,0,39,0,0
Veno Shock,48,-0.029943858647216538,-0.02013473137596833,0.0,0,48,0,0
Ventum Maris,50,-0.28135770256493864,-0.1698867959847341,0.0,0,50,0,0
Verdant Phenomenon,12,-0.03351593826958125,-0.025797624575459643,0.0,0,12,0,0
Verdant Virtuoso,44,-0.09862872322447128,-0.06292103554990547,0.0,0,44,0,0
Verdant Vortex,34,-0.16642613902949224,-0.10948260185682912,0.0,0,34,0,0
Verdatica,11,-0.276509350771113,-0.09060629119186103,0.0,0,11,0,0
Vexed Volcanics,53,-0.21723190726265912,-0.14597680247577216,0.0,0,53,0,0
Vicious Circle,40,-0.31189957322085926,-0.1761788995397211,0.0,0,40,0,0
Vicious Vampires,35,-0.20706413927536318,-0.1283589125218043,0.0,0,35,0,0
Vicious Vortex,40,-0.2234011367199268,-0.135909436787788,0.0,0,40,0,0
Vigorous Pulse,52,-0.02759087408863211,-0.02076394173146756,0.0,0,52,0,0
Violent Violets,26,-0.03103943084473159,-0.027685255641953788,0.0,0,26,0,0
Violent Viridian,26,-0.2659623771897729,-0.10256128794634378,0.0,0,26,0,0
Violent Wintertide,40,-0.1473296047400944,-0.11829154683381304,0.0,0,40,0,0
Violet Vortex,42,-0.2098266723599829,-0.1302465435882958,0.0,0,42,0,0
Viridescent Peeper,52,-0.34342785211101695,-0.21896520371366535,0.0,0,52,0,0
Vivid Plasma,517,-0.171740349894648,-0.07424682194888277,0.0,0,517,0,0
Void Crawlers,40,-0.043550794755865006,-0.0264268349309571,0.0,0,40,0,0
Volcanic Eruption,8,-0.11089832515670328,-0.0830557669258738,0.0,0,8,0,0
Voltaic Hat Protector,6,-1.9639752562975532,-1.0734328664813564,0.0,0,6,0,0
Wandering Wisps,9,-0.09640900891479534,-0.05033682843992082,0.0,0,9,0,0
Warp Drive,50,-0.17041533268335535,-0.10067365687984875,0.0,0,50,0,0
White Lightning,38,-0.2604268545075911,-0.1535273267417594,0.0,0,38,0,0
Wicked Wick,46,-0.33586154497658227,-0.1585610095857568,0.0,0,46,0,0
Wicked Wood,56,-0.1883810860767223,-0.135909436787788,0.0,0,56,0,0
Wildflower Meadows,62,-0.03127276952371324,-0.018876310664970752,0.0,0,62,0,0
Winning Spirit,59,-0.028770910119749804,-0.017617889953973176,0.0,0,59,0,0
Winter Spirit,48,-0.07446966728312349,-0.05537051128391113,0.0,0,48,0,0
Winter Whiteout,24,-0.10785714177179002,-0.07550524265987946,0.0,0,24,0,0
Wintery Wisp,51,-0.04906113528779251,-0.03271893848594942,0.0,0,51,0,0
Wispy Halos,34,-0.023389969656329637,-0.018876310664970752,0.0,0,34,0,0
Über Blaze,65,-0.1728102040979761,-0.14345996105377878,0.0,0,65,0,0
