source_value,source_value_high,source_currency,source_last_update,effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,bp_price_all,slot,summary,defindex,scrape_timestamp
31,31,keys,1768239694,35,Smoking,Fancy Fedora,2001.205,31 keys,"2,001.21 ref",misc,Level 1-100 Hat,55,2026-09-11T04:38:28+00:00
9,9,keys,1753499365,35,Smoking,Fat Man's Field Cap,580.995,9 keys,581.00 ref,misc,Level 1-100 Hat,30911,2026-09-11T04:38:28+00:00
14,15,keys,1556313785,35,Smoking,Fed-Fightin' Fedora,903.77,14–15 keys,903.77 ref,misc,Level 1-100 Hat,780,2026-09-11T04:38:28+00:00
23,28,keys,1787225989,35,Smoking,Federal Casemaker,1484.765,23–28 keys,"1,484.77 ref",misc,Level 1-100 Hat,30119,2026-09-11T04:38:28+00:00
12,12,keys,1615726298,35,Smoking,Field Practice,774.66,12 keys,774.66 ref,misc,Level 1-100 Headgear,30862,2026-09-11T04:38:28+00:00
19,19,keys,1753471540,35,Smoking,Fire Fighter,1226.545,19 keys,"1,226.55 ref",misc,Level 1-100 Hair,31108,2026-09-11T04:38:28+00:00
16,16,keys,1679134374,35,Smoking,Firearm Protector,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,31310,2026-09-11T04:38:28+00:00
19,19,keys,1726905612,35,Smoking,Firewall Helmet,1226.545,19 keys,"1,226.55 ref",misc,Level 1-100 Helmet,30038,2026-09-11T04:38:28+00:00
42,43,keys,1711927037,35,Smoking,Flamboyant Flamenco,2711.31,42–43 keys,"2,711.31 ref",misc,Level 10 Hat,627,2026-09-11T04:38:28+00:00
70,70,keys,1642624255,35,Smoking,Flash of Inspiration,4518.85,70 keys,"4,518.85 ref",misc,Level 1-100 Hair,30871,2026-09-11T04:38:28+00:00
22,22,keys,1762636740,35,Smoking,Fleet Commander,1420.21,22 keys,"1,420.21 ref",misc,Level 1-100 Hat,31469,2026-09-11T04:38:28+00:00
19,20,keys,1711579741,35,Smoking,Flipped Trilby,1226.545,19–20 keys,"1,226.55 ref",misc,Level 1-100 Hat,324,2026-09-11T04:38:28+00:00
8,9,keys,1557688825,35,Smoking,Football Helmet,516.44,8–9 keys,516.44 ref,misc,Level 1-100 Helmet,49,2026-09-11T04:38:28+00:00
20,20,keys,1488224578,35,Smoking,Fortunate Son,1291.1,20 keys,"1,291.10 ref",misc,Level 1-100 Helmet,30636,2026-09-11T04:38:28+00:00
50,50,keys,1720047184,35,Smoking,Frag Proof Fragger,3227.75,50 keys,"3,227.75 ref",misc,Level 1-100 Helmet,30979,2026-09-11T04:38:28+00:00
16,16,keys,1753785327,35,Smoking,Frenchman's Beret,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,180,2026-09-11T04:38:28+00:00
39,39,keys,1711135805,35,Smoking,Frickin' Sweet Ninja Hood,2517.645,39 keys,"2,517.65 ref",misc,Level 1-100 Hood,30394,2026-09-11T04:38:28+00:00
15,15,keys,1711825791,35,Smoking,Fried Batter,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,31197,2026-09-11T04:38:28+00:00
12,12,keys,1600328746,35,Smoking,Front Runner,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,760,2026-09-11T04:38:28+00:00
53,53,keys,1711912664,35,Smoking,Frontier Djustice,3421.415,53 keys,"3,421.42 ref",misc,Level 1-100 Hat,30421,2026-09-11T04:38:28+00:00
15,15,keys,1696292788,35,Smoking,Frostbite Bonnet,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,31337,2026-09-11T04:38:28+00:00
22,22,keys,1762902512,35,Smoking,Fruit Shoot,1420.21,22 keys,"1,420.21 ref",misc,Level 1-100 Hat,759,2026-09-11T04:38:28+00:00
11,13,keys,1566238858,35,Smoking,Full Metal Drill Hat,710.105,11–13 keys,710.11 ref,misc,Level 1-100 Hat,30026,2026-09-11T04:38:28+00:00
18,18,keys,1735875465,35,Smoking,Furious Fukaamigasa,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Hat,395,2026-09-11T04:38:28+00:00
19,19,keys,1594642877,35,Smoking,Galvanized Gibus,1226.545,19 keys,"1,226.55 ref",misc,Level 1-100 Hat,30003,2026-09-11T04:38:28+00:00
76,77,keys,1767276862,35,Smoking,Gauzed Gaze,4906.18,76–77 keys,"4,906.18 ref",misc,Level 1-100 Hat,30786,2026-09-11T04:38:28+00:00
9,9,keys,1503065000,35,Smoking,Geisha Boy,580.995,9 keys,581.00 ref,misc,Level 1-100 Hair,363,2026-09-11T04:38:28+00:00
15,20,keys,1750323350,35,Smoking,Gentleman's Gatsby,968.325,15–20 keys,968.33 ref,misc,Level 1-100 Hat,184,2026-09-11T04:38:28+00:00
15,17,keys,1664896200,35,Smoking,Gentleman's Ushanka,968.325,15–17 keys,968.33 ref,misc,Level 1-100 Hat,778,2026-09-11T04:38:28+00:00
7.5,9,keys,1569441842,35,Smoking,German Gonzila,484.1625,7.5–9 keys,484.16 ref,misc,Level 1-100 Hat,323,2026-09-11T04:38:28+00:00
13,13,keys,1466530922,35,Smoking,Gilded Guard,839.215,13 keys,839.22 ref,misc,Level 1-100 Helmet,1093,2026-09-11T04:38:28+00:00
21,29,keys,1711579821,35,Smoking,Glasgow Great Helm,1355.655,21–29 keys,"1,355.66 ref",misc,Level 1-100 Helmet,30082,2026-09-11T04:38:28+00:00
7,11,keys,1573847528,35,Smoking,Glengarry Bonnet,451.885,7–11 keys,451.89 ref,misc,Level 1-100 Hat,100,2026-09-11T04:38:28+00:00
23,23,keys,1626344335,35,Smoking,Globetrotter,1484.765,23 keys,"1,484.77 ref",misc,Level 1-100 Snow Globe,31090,2026-09-11T04:38:28+00:00
20,20,keys,1677857960,35,Smoking,Gnome Dome,1291.1,20 keys,"1,291.10 ref",misc,Level 1-100 Hat,31242,2026-09-11T04:38:28+00:00
17,18,keys,1711579674,35,Smoking,Greased Lightning,1097.435,17–18 keys,"1,097.44 ref",misc,Level 1-100 Hair,30078,2026-09-11T04:38:28+00:00
11,15,keys,1496730917,35,Smoking,Grenadier's Softcap,710.105,11–15 keys,710.11 ref,misc,Level 1-100 Hat,227,2026-09-11T04:38:28+00:00
12,12,keys,1712077842,35,Smoking,Gridiron Guardian,774.66,12 keys,774.66 ref,misc,Level 1-100 Helmet,30013,2026-09-11T04:38:28+00:00
40,40,keys,1753818464,35,Smoking,Grimm Hatte,2582.2,40 keys,"2,582.20 ref",misc,Level 1-100 Hat,383,2026-09-11T04:38:28+00:00
22,22,keys,1677417271,35,Smoking,Ground Control,1420.21,22 keys,"1,420.21 ref",misc,Level 1-100 Hat,30338,2026-09-11T04:38:28+00:00
7,7,keys,1748799315,35,Smoking,Gym Rat,451.885,7 keys,451.89 ref,misc,Level 10 Hair,613,2026-09-11T04:38:28+00:00
12,12,keys,1705520713,35,Smoking,Halogen Head Lamp,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,30041,2026-09-11T04:38:28+00:00
8,8,keys,1690460139,35,Smoking,Handyman's Handle,516.44,8 keys,516.44 ref,misc,Level 1-100 Hat,253,2026-09-11T04:38:28+00:00
8.5,8.5,keys,1671872890,35,Smoking,Hard Counter,548.7175,8.5 keys,548.72 ref,misc,Level 1-100 Hat,254,2026-09-11T04:38:28+00:00
20,20,keys,1786469128,35,Smoking,Harmburg,1291.1,20 keys,"1,291.10 ref",misc,Level 1-100 Hat,30123,2026-09-11T04:38:28+00:00
27,33,keys,1727555184,35,Smoking,Hat Outta Hell,1742.985,27–33 keys,"1,742.99 ref",misc,Level 1-100 Hat,31216,2026-09-11T04:38:28+00:00
24,24,keys,1647954742,35,Smoking,Hat of Cards,1549.32,24 keys,"1,549.32 ref",misc,Level 1-100 Hat,825,2026-09-11T04:38:28+00:00
39,45,keys,1772849676,35,Smoking,Hat with No Name,2517.645,39–45 keys,"2,517.65 ref",misc,Level 10 Hat,631,2026-09-11T04:38:28+00:00
23,30,keys,1703133208,35,Smoking,Hawk Warrior,1484.765,23–30 keys,"1,484.77 ref",misc,Level 1-100 Hat,31111,2026-09-11T04:38:28+00:00
430,430,keys,1787225601,35,Smoking,HazMat Headcase,27758.65,430 keys,"27,758.65 ref",misc,Level 1-100 Mask,783,2026-09-11T04:38:28+00:00
18,18,keys,1757267098,35,Smoking,Hazard Handler,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Helmet,31374,2026-09-11T04:38:28+00:00
19,19,keys,1753198422,35,Smoking,Hazard Headgear,1226.545,19 keys,"1,226.55 ref",misc,Level 1-100 Hat,31115,2026-09-11T04:38:28+00:00
26,26,keys,1761054789,35,Smoking,Head Banger,1678.43,26 keys,"1,678.43 ref",misc,Level 1-100 Hat,31273,2026-09-11T04:38:28+00:00
12,12,keys,1768145071,35,Smoking,Head Hedge,774.66,12 keys,774.66 ref,misc,Level 1-100 Helmet,30978,2026-09-11T04:38:28+00:00
420,420,keys,1758115797,35,Smoking,Head Prize,27113.1,420 keys,"27,113.10 ref",misc,Level 1-100 Hat,30838,2026-09-11T04:38:28+00:00
37,37,keys,1697813284,35,Smoking,Head Warmer,2388.535,37 keys,"2,388.54 ref",misc,Level 1-100 Hat,644,2026-09-11T04:38:28+00:00
12,12,keys,1651204169,35,Smoking,Head of Defense,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,31114,2026-09-11T04:38:28+00:00
16,16,keys,1744282575,35,Smoking,Headhunter's Brim,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,31313,2026-09-11T04:38:28+00:00
8,9,keys,1548607379,35,Smoking,Heavy Duty Rag,516.44,8–9 keys,516.44 ref,misc,Level 1-100 Bandana,185,2026-09-11T04:38:28+00:00
18,23,keys,1692635066,35,Smoking,Heer's Helmet,1161.99,18–23 keys,"1,161.99 ref",misc,Level 1-100 Helmet,30378,2026-09-11T04:38:28+00:00
125,125,keys,1745982963,35,Smoking,Hellish Overlord,8069.375,125 keys,"8,069.38 ref",misc,Level 1-100 Helmet,31481,2026-09-11T04:38:28+00:00
34,34,keys,1753397600,35,Smoking,Hellmet,2194.87,34 keys,"2,194.87 ref",misc,Level 1-100 Helmet,30708,2026-09-11T04:38:28+00:00
10,10,keys,1728228060,35,Smoking,Helmet without a Home,645.55,10 keys,645.55 ref,misc,Level 1-100 Helmet,732,2026-09-11T04:38:28+00:00
11,15,keys,1711982645,35,Smoking,Hephaistos' Handcraft,710.105,11–15 keys,710.11 ref,misc,Level 1-100 Helmet,31000,2026-09-11T04:38:28+00:00
29,32,keys,1750073237,35,Smoking,Herald's Helm,1872.095,29–32 keys,"1,872.10 ref",misc,Level 1-100 Helmet,30769,2026-09-11T04:38:28+00:00
11,11,keys,1751362971,35,Smoking,Hermes,710.105,11 keys,710.11 ref,misc,Level 10 Hat,633,2026-09-11T04:38:28+00:00
10,10,keys,1753599892,35,Smoking,Hetman's Headpiece,645.55,10 keys,645.55 ref,misc,Level 1-100 Hat,436,2026-09-11T04:38:28+00:00
10,14,keys,1648744071,35,Smoking,Highway Star,645.55,10–14 keys,645.55 ref,misc,Level 1-100 Bandana,31010,2026-09-11T04:38:28+00:00
16,16,keys,1498058679,35,Smoking,Hive Minder,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,30093,2026-09-11T04:38:28+00:00
13,13,keys,1623875222,35,Smoking,Hollowed Helm,839.215,13 keys,839.22 ref,misc,Level 1-100 Hat,31128,2026-09-11T04:38:28+00:00
15,15,keys,1786455729,35,Smoking,Honcho's Headgear,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,391,2026-09-11T04:38:28+00:00
58,64,keys,1783280298,35,Smoking,Hong Kong Cone,3744.19,58–64 keys,"3,744.19 ref",misc,Level 1-100 Hat,30177,2026-09-11T04:38:28+00:00
25,27,keys,1753818526,35,Smoking,Horrific Headsplitter,1613.875,25–27 keys,"1,613.88 ref",misc,Level 31 Hat,291,2026-09-11T04:38:28+00:00
15,15,keys,1692454452,35,Smoking,Horror Shawl,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,31304,2026-09-11T04:38:28+00:00
10,15,keys,1592852046,35,Smoking,Hot Dogger,645.55,10–15 keys,645.55 ref,misc,Level 10 Hat,614,2026-09-11T04:38:28+00:00
17,17,keys,1786454767,35,Smoking,Hot Spaniel,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hat,31497,2026-09-11T04:38:28+00:00
15,15,keys,1500831784,35,Smoking,Hotrod,968.325,15 keys,968.33 ref,misc,Level 1-100 Mask,148,2026-09-11T04:38:28+00:00
13,13,keys,1786263098,35,Smoking,Hottie's Hoodie,839.215,13 keys,839.22 ref,misc,Level 1-100 Hood,377,2026-09-11T04:38:28+00:00
8,9,keys,1588094092,35,Smoking,Hound Dog,516.44,8–9 keys,516.44 ref,misc,Level 1-100 Hair,145,2026-09-11T04:38:28+00:00
18,18,keys,1594643044,35,Smoking,Human Cannonball,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Helmet,817,2026-09-11T04:38:28+00:00
110,110,keys,1735873969,35,Smoking,Hungover Hero,7101.05,110 keys,"7,101.05 ref",misc,Level 1-100 Headgear,30954,2026-09-11T04:38:28+00:00
45,45,keys,1753818091,35,Smoking,Hunter in Darkness,2904.975,45 keys,"2,904.98 ref",misc,Level 1-100 Hat,30877,2026-09-11T04:38:28+00:00
18,20,keys,1693643874,35,Smoking,Hustler's Hallmark,1161.99,18–20 keys,"1,161.99 ref",misc,Level 1-100 Hat,146,2026-09-11T04:38:28+00:00
18,18,keys,1741268505,35,Smoking,Impact Impaler,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Helmet,31432,2026-09-11T04:38:28+00:00
14,16,keys,1631877138,35,Smoking,Industrial Festivizer,903.77,14–16 keys,903.77 ref,misc,Level 1-100 Hat,338,2026-09-11T04:38:28+00:00
26,26,keys,1782246820,35,Smoking,Infernal Impaler,1678.43,26 keys,"1,678.43 ref",misc,Level 13 Headgear,575,2026-09-11T04:38:28+00:00
9,9,keys,1728201250,35,Smoking,Janissary Ketche,580.995,9 keys,581.00 ref,misc,Level 1-100 Hat,437,2026-09-11T04:38:28+00:00
12,12,keys,1626342360,35,Smoking,Jolly Jingler,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,31165,2026-09-11T04:38:28+00:00
9,10,keys,1577658291,35,Smoking,Jumper's Jeepcap,580.995,9–10 keys,581.00 ref,misc,Level 1-100 Hat,417,2026-09-11T04:38:28+00:00
50,50,keys,1632307312,35,Smoking,Jungle Wreath,3227.75,50 keys,"3,227.75 ref",misc,Level 1-100 Hat,30882,2026-09-11T04:38:28+00:00
10,11,keys,1501450111,35,Smoking,Katyusha,645.55,10–11 keys,645.55 ref,misc,Level 1-100 Hat,30094,2026-09-11T04:38:28+00:00
45,45,keys,1654040270,35,Smoking,Killer Exclusive,2904.975,45 keys,"2,904.98 ref",misc,Level 10 Hat,538,2026-09-11T04:38:28+00:00
25,25,keys,1677614106,35,Smoking,Killer's Kabuto,1613.875,25 keys,"1,613.88 ref",misc,Level 1-100 Helmet,152,2026-09-11T04:38:28+00:00
7,8,keys,1629597798,35,Smoking,Killing Tree,451.885,7–8 keys,451.89 ref,misc,Level 1-100 Hat,31181,2026-09-11T04:38:28+00:00
13,13,keys,1679164079,35,Smoking,King Cardbeard,839.215,13 keys,839.22 ref,misc,Level 1-100 Hat,31130,2026-09-11T04:38:28+00:00
12,12,keys,1777793190,35,Smoking,Kiss King,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,30313,2026-09-11T04:38:28+00:00
15,15,keys,1753781151,35,Smoking,L'Inspecteur,968.325,15 keys,968.33 ref,misc,Level 10 Hat,622,2026-09-11T04:38:28+00:00
15,15,keys,1753784157,35,Smoking,L'homme Burglerre,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,30182,2026-09-11T04:38:28+00:00
94,98,keys,1780494891,35,Smoking,Large Luchador,6068.17,94–98 keys,"6,068.17 ref",misc,Level 1-100 Mask,380,2026-09-11T04:38:28+00:00
10,12,keys,1497304749,35,Smoking,Larrikin Robin,645.55,10–12 keys,645.55 ref,misc,Level 1-100 Hat,314,2026-09-11T04:38:28+00:00
35,35,keys,1551897551,35,Smoking,Law,2259.425,35 keys,"2,259.43 ref",misc,Level 1-100 Hat,30362,2026-09-11T04:38:28+00:00
18,18,keys,1669834257,35,Smoking,Lawnmaker,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Hat,31272,2026-09-11T04:38:28+00:00
140,150,keys,1784466731,35,Smoking,Le Party Phantom,9037.7,140–150 keys,"9,037.70 ref",misc,Level 1-100 Mask,337,2026-09-11T04:38:28+00:00
9,9,keys,1774858632,35,Smoking,Le Sapeur,580.995,9 keys,581.00 ref,misc,Level 1-100 Helmet,31540,2026-09-11T04:38:28+00:00
113,113,keys,1578219993,35,Smoking,Legendary Lid,7294.715,113 keys,"7,294.72 ref",misc,Level 1-100 Hat,30868,2026-09-11T04:38:28+00:00
25,28,keys,1405403165,35,Smoking,Letch's LED,1613.875,25–28 keys,"1,613.88 ref",misc,Level 1-100 Hat,30002,2026-09-11T04:38:28+00:00
38,38,keys,1554664183,35,Smoking,Lil' Bitey,2453.09,38 keys,"2,453.09 ref",misc,Level 1-100 Hat,30814,2026-09-11T04:38:28+00:00
14,14,keys,1782320793,35,Smoking,Liquidator's Lid,903.77,14 keys,903.77 ref,misc,Level 1-100 Hat,779,2026-09-11T04:38:28+00:00
10,10,keys,1642669024,35,Smoking,Little Buddy,645.55,10 keys,645.55 ref,misc,Level 10 Hat,612,2026-09-11T04:38:28+00:00
13,14,keys,1711737526,35,Smoking,Lord Cockswain's Pith Helmet,839.215,13–14 keys,839.22 ref,misc,Level 1-100 Headgear,439,2026-09-11T04:38:28+00:00
34,39,keys,1727555960,35,Smoking,Lucky Shot,2194.87,34–39 keys,"2,194.87 ref",misc,Level 1-100 Helmet,701,2026-09-11T04:38:28+00:00
15,15,keys,1685821992,35,Smoking,Lumbercap,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,31326,2026-09-11T04:38:28+00:00
8.5,9.5,keys,1573847573,35,Smoking,Madame Dixie,548.7175,8.5–9.5 keys,548.72 ref,misc,Level 1-100 Hat,321,2026-09-11T04:38:28+00:00
8,8,keys,1573840590,35,Smoking,Magistrate's Mullet,516.44,8 keys,516.44 ref,misc,Level 1-100 Hair,147,2026-09-11T04:38:28+00:00
11,11,keys,1650726574,35,Smoking,Magnificent Mongolian,710.105,11 keys,710.11 ref,misc,Level 1-100 Hat,313,2026-09-11T04:38:28+00:00
9,9,keys,1540718624,35,Smoking,Mann of Reason,580.995,9 keys,581.00 ref,misc,Level 1-100 Hat,30318,2026-09-11T04:38:28+00:00
10,12,keys,1746757912,35,Smoking,Mann-O-War,645.55,10–12 keys,645.55 ref,misc,Level 1-100 Hat,31008,2026-09-11T04:38:28+00:00
12,12,keys,1753784786,35,Smoking,Mannhattan Protect,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,31484,2026-09-11T04:38:28+00:00
80,80,keys,1640617764,35,Smoking,Mask of the Shaman,5164.4,80 keys,"5,164.40 ref",misc,Level 10 Mask,514,2026-09-11T04:38:28+00:00
140,150,keys,1773933406,35,Smoking,Master's Yellow Belt,9037.7,140–150 keys,"9,037.70 ref",misc,Level 1-100 Hat,110,2026-09-11T04:38:28+00:00
28,35,keys,1711941822,35,Smoking,Mean Captain,1807.54,28–35 keys,"1,807.54 ref",misc,Level 1-100 Hat,31385,2026-09-11T04:38:28+00:00
15,15,keys,1703871450,35,Smoking,Medic's Mountain Cap,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,381,2026-09-11T04:38:28+00:00
9,10,keys,1631825586,35,Smoking,Melted Mop,580.995,9–10 keys,581.00 ref,misc,Level 1-100 Ice Cream Cone,31041,2026-09-11T04:38:28+00:00
22,25,keys,1603737093,35,Smoking,Merc's Mohawk,1420.21,22–25 keys,"1,420.21 ref",misc,Level 1-100 Hair,30413,2026-09-11T04:38:28+00:00
10,12,keys,1501791822,35,Smoking,Metal Slug,645.55,10–12 keys,645.55 ref,misc,Level 1-100 Hat,30028,2026-09-11T04:38:28+00:00
13,13,keys,1652428160,35,Smoking,Mighty Mitre,839.215,13 keys,839.22 ref,misc,Level 1-100 Hat,31034,2026-09-11T04:38:28+00:00
22,22,keys,1723929952,35,Smoking,Milkman,1420.21,22 keys,"1,420.21 ref",misc,Level 1-100 Hat,219,2026-09-11T04:38:28+00:00
49,49,keys,1553627244,35,Smoking,Millennial Mercenary,3163.195,49 keys,"3,163.20 ref",misc,Level 1-100 Hair,31023,2026-09-11T04:38:28+00:00
155,155,keys,1786296447,35,Smoking,Mining Light,10006.025,155 keys,"10,006.03 ref",misc,Level 1-100 Cosmetic Item,48,2026-09-11T04:38:28+00:00
17,17,keys,1743414661,35,Smoking,Minnesota Slick,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hair,30315,2026-09-11T04:38:28+00:00
13,13,keys,1787063685,35,Smoking,Misdirector,839.215,13 keys,839.22 ref,misc,Level 1-100 Hat,31566,2026-09-11T04:38:28+00:00
12,12,keys,1753779819,35,Smoking,Missing Piece,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,31101,2026-09-11T04:38:28+00:00
14,15,keys,1653826605,35,Smoking,Modest Metal Pile of Scrap,903.77,14–15 keys,903.77 ref,misc,Level 1-100 Hat,30001,2026-09-11T04:38:28+00:00
24,25,keys,1693646098,35,Smoking,Modest Pile of Hat,1549.32,24–25 keys,"1,549.32 ref",misc,Level 1-100 Hat,139,2026-09-11T04:38:28+00:00
40,40,keys,1762073344,35,Smoking,Monsieur Grenouille,2582.2,40 keys,"2,582.20 ref",misc,Level 1-100 Mascot,31280,2026-09-11T04:38:28+00:00
13,13,keys,1755005821,35,Smoking,More Gun Marshal,839.215,13 keys,839.22 ref,misc,Level 1-100 Hat,31298,2026-09-11T04:38:28+00:00
250,250,keys,1775418517,35,Smoking,Mountebank's Masque,16138.75,250 keys,"16,138.75 ref",misc,Level 1-100 Hat,30573,2026-09-11T04:38:28+00:00
12,16,keys,1648809826,35,Smoking,Murderer's Motif,774.66,12–16 keys,774.66 ref,misc,Level 1-100 Hat,31016,2026-09-11T04:38:28+00:00
12,12,keys,1787063492,35,Smoking,Nanobalaclava,774.66,12 keys,774.66 ref,misc,Level 10 Hat,521,2026-09-11T04:38:28+00:00
14,14,keys,1725404045,35,Smoking,Napoleon Complex,903.77,14 keys,903.77 ref,misc,Level 1-100 Hat,30360,2026-09-11T04:38:28+00:00
16,16,keys,1711915240,35,Smoking,Napper's Respite,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,248,2026-09-11T04:38:28+00:00
29,29,keys,1788446759,35,Smoking,Nasty Norsemann,1872.095,29 keys,"1,872.10 ref",misc,Level 1-100 Helmet,30810,2026-09-11T04:38:28+00:00
16,16,keys,1695124250,35,Smoking,Neckwear Headwear,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,30307,2026-09-11T04:38:28+00:00
42,42,keys,1559719224,35,Smoking,Neptune's Nightmare,2711.31,42 keys,"2,711.31 ref",misc,Level 1-100 Helmet,30684,2026-09-11T04:38:28+00:00
14,17,keys,1704229344,35,Smoking,Nightbane Brim,903.77,14–17 keys,903.77 ref,misc,Level 1-100 Hat,31308,2026-09-11T04:38:28+00:00
9.5,9.5,keys,1714166329,35,Smoking,Nightcap,613.2725,9.5 keys,613.27 ref,misc,Level 1-100 Hat,31422,2026-09-11T04:38:28+00:00
10,13,keys,1594584696,35,Smoking,Noble Amassment of Hats,645.55,10–13 keys,645.55 ref,misc,Level 1-100 Hat,137,2026-09-11T04:38:28+00:00
12,12,keys,1712654538,35,Smoking,Noble Nickel Amassment of Hats,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,30006,2026-09-11T04:38:28+00:00
560,560,keys,1665348993,35,Smoking,Noh Mercy,36150.8,560 keys,"36,150.80 ref",misc,Level 1-100 Mask,361,2026-09-11T04:38:28+00:00
38,38,keys,1704309893,35,Smoking,Nuke,2453.09,38 keys,"2,453.09 ref",misc,Level 1-100 Hair,30885,2026-09-11T04:38:28+00:00
75,75,keys,1751474370,35,Smoking,Nunhood,4841.625,75 keys,"4,841.63 ref",misc,Level 1-100 Hat,30311,2026-09-11T04:38:28+00:00
24,38,keys,1775417952,35,Smoking,Officer's Ushanka,1549.32,24–38 keys,"1,549.32 ref",misc,Level 1-100 Hat,96,2026-09-11T04:38:28+00:00
14,14,keys,1634974810,35,Smoking,Ol' Geezer,903.77,14 keys,903.77 ref,misc,Level 1-100 Hat,399,2026-09-11T04:38:28+00:00
15,15,keys,1753818643,35,Smoking,Ol' Snaggletooth,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,229,2026-09-11T04:38:28+00:00
11,12,keys,1567593712,35,Smoking,Old Guadalajara,710.105,11–12 keys,710.11 ref,misc,Level 1-100 Hat,247,2026-09-11T04:38:28+00:00
11,13,keys,1537367153,35,Smoking,One-Man Army,710.105,11–13 keys,710.11 ref,misc,Level 10 Hair,601,2026-09-11T04:38:28+00:00
23,23,keys,1670094854,35,Smoking,Optic Nerve,1484.765,23 keys,"1,484.77 ref",misc,Level 1-100 Hat,31224,2026-09-11T04:38:28+00:00
9,9.5,keys,1787678890,35,Smoking,Otolaryngologist's Mirror,580.995,9–9.5 keys,581.00 ref,misc,Level 1-100 Hat,104,2026-09-11T04:38:28+00:00
11,11,keys,1444835165,35,Smoking,Outdoorsman,710.105,11 keys,710.11 ref,misc,Level 10 Hat,603,2026-09-11T04:38:28+00:00
20,20,keys,1630226626,35,Smoking,Outta Sight,1291.1,20 keys,"1,291.10 ref",misc,Level 1-100 Hat,30628,2026-09-11T04:38:28+00:00
14,14,keys,1690989393,35,Smoking,Pampered Pyro,903.77,14 keys,903.77 ref,misc,Level 1-100 Towel,30139,2026-09-11T04:38:28+00:00
37,37,keys,1785435674,35,Smoking,Panisher,2388.535,37 keys,"2,388.54 ref",misc,Level 1-100 Dented Pan,31199,2026-09-11T04:38:28+00:00
17,20,keys,1713878072,35,Smoking,Pardner's Pompadour,1097.435,17–20 keys,"1,097.44 ref",misc,Level 1-100 Hair,30099,2026-09-11T04:38:28+00:00
15,15,keys,1724184841,35,Smoking,Partizan,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,31329,2026-09-11T04:38:28+00:00
45,45,keys,1678136339,35,Smoking,Patriot Peak,2904.975,45 keys,"2,904.98 ref",misc,Level 1-100 Hat,30743,2026-09-11T04:38:28+00:00
10,16,keys,1635712479,35,Smoking,Peacenik's Ponytail,645.55,10–16 keys,645.55 ref,misc,Level 1-100 Hair,30406,2026-09-11T04:38:28+00:00
105,115,keys,1722706296,35,Smoking,Pencil Pusher,6778.275,105–115 keys,"6,778.28 ref",misc,Level 10 Hair,605,2026-09-11T04:38:28+00:00
17,17,keys,1751531970,35,Smoking,Phononaut,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hat,30647,2026-09-11T04:38:28+00:00
17,17,keys,1459751891,35,Smoking,Physician's Protector,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Helmet,30625,2026-09-11T04:38:28+00:00
9,11,keys,1554333587,35,Smoking,Pirate Bandana,580.995,9–11 keys,581.00 ref,misc,Level 1-100 Hat,30180,2026-09-11T04:38:28+00:00
14,14,keys,1607111890,35,Smoking,Pithy Professional,903.77,14 keys,903.77 ref,misc,Level 1-100 Hat,30915,2026-09-11T04:38:28+00:00
15,15,keys,1788892957,35,Smoking,Plaid Lad,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,31341,2026-09-11T04:38:28+00:00
